Date	EUR/USD
1	1.1156
2	1.1082
3	1.101
4	1.0989
5	1.0911
6	1.0875
7	1.083
8	1.083
9	1.0838
10	1.0868
11	1.0925
12	1.0966
13	1.0969
14	1.0983
15	1.0983
16	1.1049
17	1.1064
18	1.1047
19	1.0953
20	1.0975
21	1.0985
22	1.0985
23	1.0969
24	1.0949
25	1.0877
26	1.0909
27	1.093
28	1.0966
29	1.0966
30	1.0974
31	1.1022
32	1.1115
33	1.1135
34	1.1143
35	1.111
36	1.111
37	1.1092
