Date	NN
1	1.110286394
2	1.104788586
3	1.09911389
4	1.094625661
5	1.089348847
6	1.086668173
7	1.085458135
8	1.086739571
9	1.089927734
10	1.0941907
11	1.097521002
12	1.099435212
13	1.099997157
14	1.102676314
15	1.105362936
16	1.107442922
17	1.104213565
18	1.101287696
19	1.099275594
20	1.100327157
21	1.100115871
22	1.09891236
23	1.095297968
24	1.093331842
25	1.09273983
26	1.095701533
27	1.097583756
28	1.099032713
29	1.100913812
30	1.10589003
