Date	GA
1	1.089078896
2	1.084572362
3	1.084572362
4	1.085373524
5	1.088377879
6	1.094086155
7	1.098192107
8	1.098492543
9	1.099894576
10	1.099894576
11	1.106504158
12	1.108006336
13	1.106303867
14	1.09689022
15	1.099093414
16	1.100094866
17	1.100094866
18	1.098492543
19	1.096489639
20	1.089279186
21	1.092483832
22	1.094586881
23	1.098192107
24	1.098192107
25	1.098993269
26	1.103800238
27	1.11311374
28	1.115116644
29	1.115917805
30	1.112613014
